Category,Detail / Score,Source URL
Current Office & Party,,
Position,Chief Minister of Andhra Pradesh (current).,https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
Party & Role,Telugu Desam Party (TDP) — National President.,https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
Constituency,Kuppam (Chittoor District),https://myneta.info/andhra2024/candidate.php?candidate_id=1212
Educational Status,Post-Graduate level (as declared in affidavit),https://myneta.info/andhra2024/candidate.php?candidate_id=1212
Ministerial / Portfolios,Chief Minister — heads the Andhra Pradesh state government,https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
Assets & Financials (Election Affidavit),,
Total Assets,Declared total assets: ~₹932 crore (2024 affidavit),https://myneta.info/andhra2024/candidate.php?candidate_id=1212
Source of Wealth,"Business & landholdings, investments, and family immovable assets",https://myneta.info/andhra2024/candidate.php?candidate_id=1212
Liabilities,Declared liabilities as per affidavit,https://myneta.info/andhra2024/candidate.php?candidate_id=1212
Criminal Cases,,
Criminal Cases Declared,Declared 19 cases (as per 2024 affidavit),https://myneta.info/andhra2024/candidate.php?candidate_id=1212
Serious IPC Cases,Includes Amaravati land/irregularity probes (reported in national media),https://www.indiatoday.in/india/story/n-chandrababu-naidu-plea-transfer-probe-cases-cbi-2515867-2024-07-04
Political Background,,
Dynasty / Family Links,Son-in-law of N. T. Rama Rao (founder of TDP),https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
Career Highlight,Multiple terms as CM; known for IT & infrastructure-led development,https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
Electoral Performance,,
Recent Elections (2024),Won Kuppam seat; led TDP in 2024 elections,https://myneta.info/andhra2024/candidate.php?candidate_id=1212
Current Activity & Initiatives,,
Key Achievements & Initiatives,"Pushing technology/innovation projects ('Quantum Valley', AI/data centre plans)",https://www.ft.com/content/8c5b46e4-9b26-45e8-987a-2b5a0fdc6902
Policy Focus,"Tech-led development, infrastructure, digital governance",https://www.ft.com/content/8c5b46e4-9b26-45e8-987a-2b5a0fdc6902
Legal / Probe Updates,,
Recent Legal Developments,Filed plea to transfer probe cases to CBI (Amaravati-related),https://www.indiatoday.in/india/story/n-chandrababu-naidu-plea-transfer-probe-cases-cbi-2515867-2024-07-04
Personal Background,,
Real Name,Nara Chandrababu Naidu (born 20 April 1950),https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
Family & Personal Notes,Married into NTR family; engaged in social initiatives via NTR Trust,https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
Philanthropy / NGOs,Founder / patron of NTR Memorial Trust,https://en.wikipedia.org/wiki/N._Chandrababu_Naidu
